number_of_activated_point;timestamp;xpoint;ypoint;pressure
6;96021011873050;789.57764;1375.8075;1.0
6;96021011873050;839.3887;1357.2292;1.0
6;96021011873050;854.82367;1349.1763;1.0
6;96021011873050;860.0;1342.0;1.0
6;96021011873050;303.0;1429.0;1.0
3;96021124425966;264.8274;1348.1512;1.0
3;96021124425966;240.69606;1259.1323;1.0
3;96021124425966;230.23529;1178.9803;1.0
3;96021124425966;230.84995;1116.1008;1.0
0;96021188935550;237.72937;1065.6914;1.0
0;96021188935550;249.51553;1013.93787;1.0
0;96021188935550;265.4429;938.7854;1.0
0;96021188935550;281.5307;870.8185;1.0
1;96021371187737;296.4749;826.42523;1.0
1;96021371187737;309.60815;800.6531;1.0
1;96021371187737;316.79602;789.272;1.0
1;96021371187737;322.8201;784.11993;1.0
1;96021371187737;328.73965;781.0868;1.0
1;96021371187737;336.6647;781.9162;1.0
1;96021371187737;347.3551;785.78503;1.0
1;96021371187737;362.735;792.43774;1.0
1;96021371187737;391.01334;804.59375;1.0
1;96021371187737;441.55432;826.3288;1.0
1;96021371187737;502.9624;859.8538;1.0
4;96021552781174;563.39667;894.0838;1.0
4;96021552781174;612.52576;923.1026;1.0
4;96021552781174;644.8208;944.24194;1.0
4;96021552781174;664.4657;958.5993;1.0
4;96021552781174;673.75024;969.62537;1.0
4;96021552781174;678.87317;985.42926;1.0
4;96021552781174;678.11005;1015.00934;1.0
4;96021552781174;663.55365;1076.8961;1.0
4;96021552781174;629.9986;1167.3926;1.0
4;96021552781174;598.0096;1252.3751;1.0
4;96021552781174;576.4818;1306.8436;1.0
8;96021786370914;564.26404;1342.2079;1.0
8;96021786370914;559.1071;1361.5715;1.0
8;96021786370914;558.0;1368.7079;1.0
8;96021786370914;558.92096;1372.8419;1.0
8;96021786370914;561.841;1374.9205;1.0
8;96021786370914;566.8602;1379.8602;1.0
8;96021786370914;575.7907;1385.8744;1.0
8;96021786370914;587.7187;1391.8594;1.0
8;96021786370914;602.31757;1397.7441;1.0
8;96021786370914;623.0693;1402.8308;1.0
8;96021786370914;651.07684;1405.9385;1.0
8;96021786370914;690.7924;1407.0;1.0
8;96021786370914;729.5303;1404.26;1.0
8;96021786370914;761.82416;1400.2902;1.0
5;96021951970185;786.47534;1396.105;1.0
5;96021951970185;801.6764;1390.1387;1.0
5;96021951970185;810.8378;1384.1216;1.0
5;96021951970185;816.87775;1376.163;1.0
5;96021951970185;825.81085;1356.4918;1.0
5;96021951970185;835.79175;1312.083;1.0
5;96021951970185;840.92;1258.0399;1.0
5;96021951970185;842.0;1207.8376;1.0
5;96021951970185;841.0383;1169.6511;1.0
5;96021951970185;837.0709;1139.4966;1.0
