number_of_activated_point;timestamp;xpoint;ypoint;pressure
2;96015983289250;502.8404;1064.1055;1.0
2;96015983289250;519.3599;1062.0914;1.0
2;96015983289250;540.0;1058.0;1.0
2;96015983289250;920.0;798.0;1.0
2;96015983289250;920.0;798.0;1.0
2;96015983289250;890.0673;791.38763;1.0
1;96016069038364;855.5442;788.0908;1.0
1;96016069038364;809.9773;787.0;1.0
1;96016069038364;735.80804;787.91144;1.0
1;96016069038364;636.0814;790.7705;1.0
1;96016069038364;533.3559;798.5628;1.0
0;96016133830552;453.7442;806.47284;1.0
0;96016133830552;397.20776;814.6467;1.0
0;96016133830552;360.3203;821.68933;1.0
0;96016133830552;331.41266;830.4955;1.0
3;96016316737218;304.13235;845.30316;1.0
3;96016316737218;277.35794;862.1271;1.0
3;96016316737218;252.29814;878.1346;1.0
3;96016316737218;228.57811;897.5534;1.0
3;96016316737218;205.15385;921.7413;1.0
3;96016316737218;188.81396;942.83716;1.0
3;96016316737218;177.67989;963.5043;1.0
3;96016316737218;168.44508;987.66473;1.0
3;96016316737218;166.0;1010.95636;1.0
3;96016316737218;169.73933;1035.8705;1.0
3;96016316737218;180.45107;1058.9937;1.0
4;96016417299354;200.82602;1079.0217;1.0
4;96016417299354;237.86954;1096.1884;1.0
4;96016417299354;289.1688;1106.5806;1.0
4;96016417299354;351.31473;1111.7766;1.0
4;96016417299354;423.95752;1115.7346;1.0
4;96016417299354;508.08984;1119.8138;1.0
5;96016499640656;589.5558;1121.0;1.0
5;96016499640656;652.32477;1118.191;1.0
5;96016499640656;696.1688;1114.1927;1.0
5;96016499640656;725.15924;1112.1416;1.0
5;96016499640656;748.97906;1110.0928;1.0
