number_of_activated_point;timestamp;xpoint;ypoint;pressure
0;89944813172332;804.91583;1284.495;1.0
0;89944813172332;811.8264;1314.6528;1.0
0;89944813172332;816.9126;1326.8252;1.0
0;89944813172332;820.0;1331.8877;1.0
0;89944813172332;820.0;1335.9088;1.0
0;89944813172332;820.0;1337.9165;1.0
0;89944813172332;820.0;1341.5;1.0
0;89944813172332;245.0;819.0;1.0
1;89945077916811;245.0;819.0;1.0
1;89945077916811;245.0;819.0;1.0
1;89945077916811;256.46832;816.35345;1.0
1;89945077916811;277.99698;811.2006;1.0
1;89945077916811;297.86487;807.22705;1.0
1;89945077916811;318.82465;804.1069;1.0
1;89945077916811;341.35205;802.1373;1.0
1;89945077916811;364.8153;800.1077;1.0
1;89945077916811;388.61908;798.11505;1.0
1;89945077916811;412.83627;798.0;1.0
1;89945077916811;436.7906;798.0;1.0
1;89945077916811;461.37598;798.0;1.0
2;89945229453738;489.06747;799.87115;1.0
2;89945229453738;519.1354;801.8757;1.0
2;89945229453738;551.03864;803.87744;1.0
2;89945229453738;583.43134;805.902;1.0
2;89945229453738;615.2509;807.8907;1.0
2;89945229453738;647.34454;809.89655;1.0
2;89945229453738;681.2882;810.8993;1.0
2;89945229453738;720.15125;812.9076;1.0
2;89945229453738;758.691;813.8785;1.0
5;89945545570925;795.643;815.8691;1.0
5;89945545570925;825.2076;816.8621;1.0
5;89945545570925;845.0928;818.8866;1.0
5;89945545570925;855.5908;820.8977;1.0
5;89945545570925;860.7849;822.89246;1.0
5;89945545570925;863.9123;824.9123;1.0
5;89945545570925;866.9074;829.7223;1.0
5;89945545570925;868.9111;836.64435;1.0
5;89945545570925;870.0;846.4638;1.0
5;89945545570925;870.0;856.3534;1.0
5;89945545570925;868.14417;867.13513;1.0
5;89945545570925;865.2503;883.8738;1.0
5;89945545570925;861.2912;902.68964;1.0
5;89945545570925;857.206;919.176;1.0
5;89945545570925;853.22217;935.11145;1.0
5;89945545570925;849.2028;951.18866;1.0
5;89945545570925;845.2543;965.11005;1.0
5;89945545570925;842.1024;979.2831;1.0
5;89945545570925;839.10114;993.2922;1.0
4;89946028572435;836.1167;1009.0662;1.0
4;89946028572435;832.2533;1025.9867;1.0
4;89946028572435;828.2231;1040.2192;1.0
4;89946028572435;824.19525;1052.4142;1.0
4;89946028572435;820.18274;1062.5432;1.0
4;89946028572435;816.19714;1070.6057;1.0
4;89946028572435;813.10675;1077.6798;1.0
4;89946028572435;809.21576;1082.7842;1.0
4;89946028572435;807.0947;1085.9053;1.0
4;89946028572435;804.23816;1087.0;1.0
4;89946028572435;800.2563;1087.8718;1.0
4;89946028572435;794.4681;1088.0;1.0
4;89946028572435;786.47327;1089.8817;1.0
4;89946028572435;777.64355;1090.8713;1.0
4;89946028572435;767.6864;1091.0;1.0
4;89946028572435;757.47314;1091.0;1.0
4;89946028572435;747.593;1091.0;1.0
4;89946028572435;735.57806;1091.0;1.0
4;89946028572435;724.6409;1091.0;1.0
4;89946028572435;713.92755;1091.0;1.0
4;89946028572435;702.7834;1091.0;1.0
4;89946028572435;692.9194;1091.0;1.0
4;89946028572435;682.4786;1091.0;1.0
4;89946028572435;672.49316;1091.0;1.0
4;89946028572435;662.58356;1091.0;1.0
4;89946028572435;652.4723;1091.0;1.0
4;89946028572435;642.56384;1091.0;1.0
4;89946028572435;630.68176;1091.0;1.0
4;89946028572435;618.1912;1091.0;1.0
3;89946376383112;604.07306;1089.1533;1.0
3;89946376383112;589.05444;1087.1318;1.0
3;89946376383112;572.8663;1085.1083;1.0
3;89946376383112;556.77386;1083.0967;1.0
3;89946376383112;540.9139;1081.1143;1.0
3;89946376383112;524.7603;1079.0951;1.0
3;89946376383112;508.75662;1078.0946;1.0
3;89946376383112;493.817;1077.1167;1.0
3;89946376383112;477.8984;1076.1123;1.0
3;89946376383112;462.87646;1075.1252;1.0
3;89946376383112;448.8068;1075.0;1.0
3;89946376383112;434.67764;1075.0;1.0
3;89946376383112;423.50296;1075.0;1.0
3;89946376383112;413.50317;1074.1006;1.0
3;89946376383112;402.63245;1073.1053;1.0
3;89946376383112;391.58914;1071.0981;1.0
3;89946376383112;379.80164;1069.1337;1.0
3;89946376383112;367.613;1067.1022;1.0
3;89946376383112;356.75497;1066.151;1.0
3;89946376383112;346.6024;1066.0;1.0
3;89946376383112;336.5497;1066.0;1.0
6;89946806825925;325.5255;1066.0;1.0
6;89946806825925;313.583;1066.0;1.0
6;89946806825925;303.43893;1066.9122;1.0
6;89946806825925;293.46368;1068.9072;1.0
6;89946806825925;284.3827;1070.9043;1.0
6;89946806825925;277.26538;1072.9115;1.0
6;89946806825925;271.27573;1074.9081;1.0
6;89946806825925;265.28107;1078.8126;1.0
6;89946806825925;258.3987;1082.8007;1.0
6;89946806825925;250.34502;1088.7412;1.0
6;89946806825925;242.41075;1096.5892;1.0
6;89946806825925;234.38205;1104.6179;1.0
6;89946806825925;227.29497;1114.5084;1.0
6;89946806825925;220.37334;1126.2533;1.0
6;89946806825925;215.23746;1138.2876;1.0
6;89946806825925;211.31781;1150.8877;1.0
6;89946806825925;207.28249;1165.8701;1.0
6;89946806825925;204.17433;1181.6053;1.0
6;89946806825925;202.15071;1196.945;1.0
6;89946806825925;200.10742;1210.3555;1.0
6;89946806825925;200.0;1221.3347;1.0
6;89946806825925;200.0;1229.5756;1.0
6;89946806825925;202.73328;1238.3331;1.0
6;89946806825925;207.6245;1249.249;1.0
6;89946806825925;216.47044;1265.0468;1.0
6;89946806825925;230.2137;1286.7644;1.0
7;89947106228060;243.33813;1307.8969;1.0
7;89947106228060;255.23834;1324.9845;1.0
7;89947106228060;265.53085;1337.437;1.0
7;89947106228060;276.32727;1347.4393;1.0
