number_of_activated_point;timestamp;xpoint;ypoint;pressure
0;380081564877273;169.0;800.0;1.0
0;380081564877273;169.0;800.0;1.0
0;380081564877273;191.45712;806.11426;1.0
1;380081628591648;244.75375;816.4403;1.0
1;380081628591648;318.35822;822.80835;1.0
1;380081628591648;395.23038;825.8777;1.0
1;380081628591648;467.4825;827.0;1.0
2;380081744473523;526.6984;828.8821;1.0
2;380081744473523;576.0305;830.8763;1.0
2;380081744473523;617.07214;834.79706;1.0
2;380081744473523;652.3844;837.90497;1.0
2;380081744473523;685.53644;841.8171;1.0
2;380081744473523;716.54333;845.8058;1.0
2;380081744473523;746.4124;849.7883;1.0
5;380082161782377;774.5604;853.7785;1.0
5;380082161782377;799.5211;855.8768;1.0
5;380082161782377;820.18164;857.90906;1.0
5;380082161782377;835.3867;859.9124;1.0
5;380082161782377;846.5074;861.9015;1.0
5;380082161782377;853.73895;862.0;1.0
5;380082161782377;858.808;862.0;1.0
5;380082161782377;862.8084;862.0;1.0
5;380082161782377;865.9029;862.0;1.0
5;380082161782377;867.8386;860.1614;1.0
5;380082161782377;869.9091;858.0909;1.0
5;380082161782377;871.0;856.11487;1.0
5;380082161782377;871.0;855.5;1.0
5;380082161782377;870.1272;859.7456;1.0
5;380082161782377;868.17664;868.94006;1.0
5;380082161782377;864.17883;886.10583;1.0
5;380082161782377;858.3246;910.5933;1.0
5;380082161782377;852.4933;939.5335;1.0
5;380082161782377;847.18463;969.7076;1.0
5;380082161782377;843.284;994.296;1.0
4;380082511943731;839.2946;1016.3795;1.0
4;380082511943731;835.2444;1035.9004;1.0
4;380082511943731;833.1081;1052.2432;1.0
4;380082511943731;831.0867;1063.5665;1.0
4;380082511943731;830.0;1070.7261;1.0
4;380082511943731;829.0;1074.8258;1.0
4;380082511943731;828.0;1076.9105;1.0
4;380082511943731;826.0951;1078.9049;1.0
4;380082511943731;824.10126;1079.0;1.0
4;380082511943731;822.13196;1079.0;1.0
4;380082511943731;820.12463;1079.0;1.0
4;380082511943731;815.3772;1079.0;1.0
4;380082511943731;805.5849;1077.0975;1.0
4;380082511943731;787.9943;1073.1989;1.0
4;380082511943731;766.1254;1067.2814;1.0
4;380082511943731;742.1587;1063.1931;1.0
4;380082511943731;716.3777;1060.106;1.0
4;380082511943731;690.39923;1059.0;1.0
4;380082511943731;662.16235;1058.1976;1.0
4;380082511943731;627.8906;1057.1606;1.0
4;380082511943731;590.28894;1057.0;1.0
3;380082691680918;556.3933;1057.0;1.0
3;380082691680918;528.1837;1058.9154;1.0
3;380082691680918;503.09604;1060.9087;1.0
3;380082691680918;479.24713;1061.0;1.0
3;380082691680918;455.27512;1061.0;1.0
3;380082691680918;431.9572;1061.0;1.0
3;380082691680918;408.46887;1061.0;1.0
3;380082691680918;386.09134;1061.0;1.0
3;380082691680918;368.77356;1060.0967;1.0
3;380082691680918;353.67566;1059.0966;1.0
3;380082691680918;341.63226;1058.1053;1.0
