number_of_activated_point;timestamp;xpoint;ypoint;pressure
2;377041299017081;291.83063;1294.3225;1.0
2;377041299017081;295.81232;1306.437;1.0
2;377041299017081;301.90274;1338.5137;1.0
2;377041299017081;306.0;1359.7909;1.0
2;377041299017081;306.0;1363.8094;1.0
2;377041299017081;306.0;1365.9111;1.0
2;377041299017081;823.0;812.0;1.0
1;377041387531300;823.0;812.0;1.0
1;377041387531300;815.5765;810.1441;1.0
1;377041387531300;781.0268;800.5334;1.0
1;377041387531300;719.2497;786.8499;1.0
1;377041387531300;621.6086;772.82605;1.0
0;377041454551873;522.4356;765.45526;1.0
0;377041454551873;441.65518;761.1849;1.0
0;377041454551873;382.7893;761.0;1.0
0;377041454551873;343.0932;761.0;1.0
3;377041687386300;314.32574;761.0;1.0
3;377041687386300;294.8865;760.0985;1.0
3;377041687386300;279.6356;760.0;1.0
3;377041687386300;265.75003;759.0;1.0
3;377041687386300;251.58508;759.0;1.0
3;377041687386300;240.41872;759.91626;1.0
3;377041687386300;230.48659;763.80536;1.0
3;377041687386300;222.37294;771.5338;1.0
3;377041687386300;216.28415;786.24225;1.0
3;377041687386300;214.08258;803.2567;1.0
3;377041687386300;214.0;828.6946;1.0
3;377041687386300;212.09262;867.8698;1.0
3;377041687386300;208.32028;924.03564;1.0
3;377041687386300;206.0;993.91785;1.0
6;377041835959060;206.89845;1062.6487;1.0
6;377041835959060;211.60875;1124.218;1.0
6;377041835959060;215.79074;1173.5935;1.0
6;377041835959060;218.89209;1209.2736;1.0
6;377041835959060;221.74153;1231.7076;1.0
6;377041835959060;223.92534;1245.552;1.0
6;377041835959060;226.90424;1257.4254;1.0
6;377041835959060;230.85672;1269.5702;1.0
6;377041835959060;236.75786;1279.5964;1.0
7;377041966968175;243.65456;1288.6545;1.0
7;377041966968175;253.49678;1297.5807;1.0
7;377041966968175;271.0286;1307.5143;1.0
7;377041966968175;294.54492;1318.3284;1.0
7;377041966968175;328.3172;1330.4391;1.0
7;377041966968175;375.4463;1342.4325;1.0
7;377041966968175;434.0693;1351.6218;1.0
7;377041966968175;496.0625;1357.7157;1.0
8;377042086047810;555.4947;1362.821;1.0
8;377042086047810;607.9457;1365.9144;1.0
8;377042086047810;648.4659;1367.9148;1.0
8;377042086047810;681.441;1368.0;1.0
8;377042086047810;706.7164;1367.1069;1.0
8;377042086047810;727.08984;1365.1011;1.0
8;377042086047810;743.1509;1363.1062;1.0
5;377042284269998;758.31213;1361.0983;1.0
5;377042284269998;770.39594;1359.1007;1.0
5;377042284269998;779.62866;1357.0929;1.0
5;377042284269998;789.5924;1355.0815;1.0
5;377042284269998;798.6298;1351.1481;1.0
5;377042284269998;816.02075;1341.6232;1.0
5;377042284269998;845.7685;1315.2314;1.0
5;377042284269998;873.5859;1278.0668;1.0
5;377042284269998;891.3905;1238.7415;1.0
5;377042284269998;896.8806;1200.1488;1.0
5;377042284269998;893.26843;1162.6106;1.0
5;377042284269998;884.43134;1128.3801;1.0
4;377042466006091;874.49585;1100.2892;1.0
4;377042466006091;865.3095;1077.7738;1.0
4;377042466006091;857.3512;1059.7024;1.0
4;377042466006091;850.29834;1047.4972;1.0
4;377042466006091;843.34906;1040.2618;1.0
4;377042466006091;833.7288;1034.3644;1.0
4;377042466006091;818.7424;1029.1855;1.0
4;377042466006091;800.7778;1027.0778;1.0
4;377042466006091;762.8119;1026.0;1.0
4;377042466006091;696.9619;1027.7859;1.0
4;377042466006091;623.2588;1039.3663;1.0
