number_of_activated_point;timestamp;xpoint;ypoint;pressure
1;101826092479694;267.0;840.06287;1.0
1;101826092479694;268.88205;819.2975;1.0
1;101826092479694;275.78134;781.7653;1.0
1;101826092479694;542.0;716.0;1.0
4;101826262302090;526.82025;747.1544;1.0
4;101826262302090;515.57733;783.8062;1.0
4;101826262302090;508.4332;822.11206;1.0
4;101826262302090;505.12317;860.6595;1.0
4;101826262302090;505.89044;901.69916;1.0
4;101826262302090;508.7378;945.85333;1.0
4;101826262302090;510.878;994.07196;1.0
7;101826379361517;512.90344;1044.6832;1.0
7;101826379361517;514.907;1090.9542;1.0
7;101826379361517;516.90936;1134.0964;1.0
7;101826379361517;518.8995;1172.9894;1.0
7;101826379361517;522.77655;1208.9891;1.0
7;101826379361517;525.7666;1243.8994;1.0
7;101826379361517;529.783;1276.264;1.0
8;101826611493132;535.6229;1306.1145;1.0
8;101826611493132;542.63043;1331.8914;1.0
8;101826611493132;550.6581;1350.3162;1.0
8;101826611493132;556.6926;1361.4877;1.0
8;101826611493132;562.7352;1369.647;1.0
8;101826611493132;569.5953;1375.6964;1.0
8;101826611493132;578.5597;1382.7358;1.0
8;101826611493132;590.30817;1388.654;1.0
8;101826611493132;607.03076;1395.6769;1.0
8;101826611493132;628.5256;1401.5979;1.0
8;101826611493132;653.41797;1405.7566;1.0
8;101826611493132;682.1692;1410.7384;1.0
8;101826611493132;710.22687;1413.8019;1.0
8;101826611493132;739.4515;1413.1106;1.0
5;101826794338652;765.57043;1406.4398;1.0
5;101826794338652;789.132;1396.3945;1.0
5;101826794338652;808.1929;1385.5381;1.0
5;101826794338652;825.23175;1372.6722;1.0
5;101826794338652;842.2417;1356.7583;1.0
5;101826794338652;859.0262;1334.4066;1.0
5;101826794338652;876.26746;1298.7397;1.0
5;101826794338652;885.70355;1255.174;1.0
5;101826794338652;885.17426;1206.0908;1.0
5;101826794338652;874.6554;1159.6217;1.0
5;101826794338652;860.38635;1114.8124;1.0
2;101826892803288;841.73627;1066.7997;1.0
2;101826892803288;825.8016;1021.30457;1.0
2;101826892803288;810.7711;977.3134;1.0
2;101826892803288;797.6178;933.26526;1.0
2;101826892803288;788.3532;889.85443;1.0
2;101826892803288;782.1913;851.7218;1.0
