number_of_activated_point;timestamp;xpoint;ypoint;pressure
8;101978292249845;562.9038;1284.423;1.0
8;101978292249845;566.89185;1301.6755;1.0
8;101978292249845;568.0;1311.8042;1.0
8;101978292249845;568.0;1328.7184;1.0
8;101978292249845;568.0;1341.6312;1.0
8;101978292249845;568.0;1351.8766;1.0
8;101978292249845;568.0;1353.8849;1.0
8;101978292249845;568.0;1354.5;1.0
8;101978292249845;864.0;1401.0;1.0
5;101978479719063;864.0;1401.0;1.0
5;101978479719063;864.0;1401.0;1.0
5;101978479719063;854.93945;1375.8033;1.0
5;101978479719063;846.38116;1352.1434;1.0
5;101978479719063;838.43744;1330.203;1.0
5;101978479719063;829.5114;1306.3297;1.0
5;101978479719063;819.6086;1274.0692;1.0
5;101978479719063;810.5146;1236.9554;1.0
5;101978479719063;803.41235;1201.3365;1.0
5;101978479719063;797.37823;1168.8912;1.0
5;101978479719063;793.2377;1139.7823;1.0
2;101978581823699;791.0857;1109.3712;1.0
2;101978581823699;787.1441;1067.5848;1.0
2;101978581823699;786.0;1010.90497;1.0
2;101978581823699;786.0;953.33325;1.0
2;101978581823699;787.0;907.92303;1.0
2;101978581823699;787.0;877.5662;1.0
1;101978978528646;787.0;859.5522;1.0
1;101978978528646;787.0;848.33105;1.0
1;101978978528646;787.0;840.28;1.0
1;101978978528646;785.06824;829.40936;1.0
1;101978978528646;782.112;815.392;1.0
1;101978978528646;778.13025;800.4559;1.0
1;101978978528646;774.10736;787.322;1.0
1;101978978528646;770.1038;778.20764;1.0
1;101978978528646;766.1307;772.196;1.0
1;101978978528646;762.1018;768.1018;1.0
1;101978978528646;759.0988;765.0494;1.0
1;101978978528646;755.09204;763.046;1.0
1;101978978528646;751.2086;761.1043;1.0
1;101978978528646;747.13354;759.0668;1.0
1;101978978528646;741.1199;757.04;1.0
1;101978978528646;734.1906;756.0;1.0
1;101978978528646;726.2037;756.0;1.0
1;101978978528646;715.7027;756.0;1.0
1;101978978528646;701.5268;756.0;1.0
1;101978978528646;684.5873;756.0;1.0
1;101978978528646;665.551;756.9449;1.0
1;101978978528646;647.3642;758.95953;1.0
1;101978978528646;630.1687;760.9789;1.0
1;101978978528646;616.76575;762.8906;1.0
4;101979328374375;602.65094;764.907;1.0
4;101979328374375;588.65106;768.81396;1.0
4;101979328374375;574.6499;772.81433;1.0
4;101979328374375;561.4604;775.9233;1.0
4;101979328374375;552.367;777.90826;1.0
4;101979328374375;545.2741;779.0;1.0
4;101979328374375;541.1624;779.0;1.0
4;101979328374375;538.08484;779.0;1.0
4;101979328374375;536.08923;779.0;1.0
4;101979328374375;534.07965;779.0;1.0
4;101979328374375;533.5;779.0;1.0
4;101979328374375;534.94025;779.0;1.0
4;101979328374375;536.89557;780.89557;1.0
4;101979328374375;538.8858;784.6574;1.0
4;101979328374375;541.89954;798.09576;1.0
4;101979328374375;542.11957;829.8476;1.0
4;101979328374375;538.1699;871.2155;1.0
4;101979328374375;532.25006;914.2497;1.0
4;101979328374375;526.26764;956.12665;1.0
4;101979328374375;521.1771;995.4057;1.0
7;101979577040209;518.102;1030.266;1.0
7;101979577040209;518.0;1061.2002;1.0
7;101979577040209;519.90424;1086.8506;1.0
7;101979577040209;522.8251;1108.1254;1.0
7;101979577040209;526.80273;1127.1122;1.0
7;101979577040209;530.8238;1143.2952;1.0
7;101979577040209;534.83014;1161.2356;1.0
7;101979577040209;539.8028;1181.9154;1.0
7;101979577040209;543.8184;1203.0923;1.0
7;101979577040209;547.8215;1223.1072;1.0
7;101979577040209;550.74884;1239.9954;1.0
7;101979577040209;552.86816;1252.2089;1.0
7;101979577040209;554.8864;1262.432;1.0
7;101979577040209;556.90216;1269.7064;1.0
7;101979577040209;558.9004;1275.7012;1.0
